report,target
"The issue with the JMS Inbound Endpoints revolves around the `JmsMessageDrivenEndpoint`, which relies on the `ChannelPublishingJmsMessageListener` but fails to propagate an `ObservationRegistry` and associated options. The `JmsInboundGateway` further complicates this by delegating to the `JmsMessageDrivenEndpoint`, leading to a lack of proper observation handling. To address these shortcomings, several enhancements are proposed: integrating `IntegrationObservation.HANDLER` into the `MessagingGatewaySupport.send()` operation to be used by the delegate, exposing and propagating observation-related options from both the `JmsInboundGateway` and the `JmsMessageDrivenEndpoint`, and introducing an `observationConvention()` option in the `MessagingGatewaySpec` and `MessageProducerSpec`. These changes aim to improve observability in JMS messaging within Spring Integration and have been cherry-picked for inclusion in versions `6.1.x` and `6.0.x`.",changetype_jms
"The new JMS Observability integration in Spring Boot aims to enhance the `JmsDefaultListenerContainerSpec` by adding a builder setter for the `ObservationRegistry` attribute. This feature, set to debut in version 3.2.0, will allow developers to easily incorporate observability and traceability into their JMS applications using the micrometer-tracing layer. The integration will streamline the process of configuring JMS listeners by enabling the addition of an `observationRegistry()` option in the builder pattern. While there is urgency for this enhancement to be included in an upcoming milestone, a workaround exists. This workaround leverages Spring Integration's capabilities, allowing JMS listeners to be observed with minimal setup. The community is encouraged to contribute to this enhancement, ensuring that the `JmsListenerContainerSpec` is versatile and usable in various contexts beyond Spring Integration.",changetype_jms
"The discussion revolves around enhancing the `ChannelPublishingJmsMessageListener` in Spring Integration for better extendibility, particularly in relation to JMS message handling. A user, Antxl, is developing a custom cloud-stream-binder and encounters challenges with integrating the `RetryTemplate` functionality within the `onMessage` method. The existing implementation makes it difficult to capture and utilize the `requestMessage` for retry logic without duplicating the message construction process. Antxl proposes a workaround by creating an identical message subclass but seeks a more elegant solution. Suggestions include extracting the sending process into a method like `sendAndReceiveReply`, or allowing custom `MessageGateway` configurations. The user also plans to submit a pull request to expose `RetryTemplate` and `RecoveryCallback` options, addressing the need for enhanced flexibility in error handling within the listener.",changetype_jms
"The JMS InboundGateway currently lacks support for dynamic destination queues, which is essential for handling replies based on varying JMS or custom message headers. This feature request arises from a discussion initiated by Artem on a Stack Overflow thread, where the need for a more flexible design was highlighted. Implementing dynamic reply queues would enhance the functionality of the JMS InboundGateway, allowing it to adapt to different messaging scenarios and improve message handling efficiency. This capability would enable developers to specify reply destinations at runtime, leading to more versatile and responsive integration solutions in Spring applications.",changetype_jms
"The issue INT-2086 addresses inconsistencies in how different JMS vendors manage `TemporaryTopic` and `TemporaryQueue`. To resolve this, the `JmsOutboundGateway` has been updated to create the appropriate temporary destination based on the `replyPubSubDomain` setting. This enhancement ensures that the system behaves consistently across different JMS implementations when dealing with temporary messaging destinations, improving overall reliability in publish-subscribe scenarios. The fix is aimed at developers using Spring Integration to streamline message handling and ensure compatibility with various JMS providers.",changetype_jms
"Testing private methods is generally considered a poor practice in software development. The use of reflection to access private methods, as seen in the example of `gatewayWithDestExpression()` testing the `determineReplyDestination()` method, raises several concerns. First, it indicates potential design flaws in the production code, often referred to as design smells. Testing private methods can also violate encapsulation principles, as these methods are meant to be internal details of a class. Furthermore, since private methods are typically called by public methods, testing them directly can lead to unnecessary complexity and maintenance challenges. If a private method requires independent testing, it may suggest that the code is not structured properly, potentially indicating dead code. Overall, the best practice is to refactor the source code to enhance its design rather than relying on reflection or other techniques to test private methods.",changetype_jms
"The proposal aims to enhance the DefaultJmsHeaderMapper in Spring Integration to allow mapping of `byte[]` types, specifically for IBM MQ headers (MQBYTE24 and LMQBYTE32). Currently, incoming messages with `byte[]` headers are ignored since they fall outside the predefined SUPPORTED_PROPERTY_TYPES. This limitation poses challenges when transmitting MQBYTExx headers that must be preserved as MQMD headers, particularly affecting the REQUEST/REPLY pattern, where JMS message IDs can be replaced by new ones at the target MQ Series broker. To address this, a workaround involves creating a custom mapper that explicitly handles `byte[]` headers, ensuring they are set correctly in the JMS message. While the team opted against back-porting this feature due to compatibility issues with ActiveMQ, the solution remains straightforward for those requiring `byte[]` mapping in their applications.",changetype_jms
"The `JmsChannelFactoryBean` in Spring Integration creates an internal `ListenerContainer` without propagating a `beanName`, leading to confusion in logs due to identical thread name prefixes across JMS channel instances when using a default internal `Executor`. To enhance clarity, it is proposed to set the `beanName` for the internal `ListenerContainer` to include a unique identifier, formatted as `this.beanName + "".container""`. This adjustment will help link the `ListenerContainer` to its corresponding JMS channel and provide distinct thread names. Additionally, developers are advised to comment out `allWarningsAsErrors = true` in `build.gradle` to avoid build issues related to the deprecated Kotlin language version `1.3`, ensuring smoother project compilation in IDEs.",changetype_jms
"The `JmsInboundGatewaySpec` in Java DSL currently offers a `destination()` method that lacks correlation, contrasting with the XML configuration's `request-destination` and `replyQueue` options. A proposed update suggests deprecating the existing `destination()` method in favor of a new `requestDestination()` method to enhance clarity and functionality. Additionally, there are plans to improve the documentation (`jms.adoc`) by incorporating code blocks that demonstrate both Java and Kotlin DSLs alongside the existing XML configurations. This change aims to streamline the API and improve user understanding of how to effectively configure JMS in Spring Integration.",changetype_jms
"The issue arises when invoking the `.stop()` method on a `StandardIntegrationFlow` configured to read from a JMS queue. The flow correctly redirects to an error channel when an exception occurs, but the `payload.getFailedMessage()` returns `null`, which is expected since the queue is empty. The underlying problem appears to stem from the interaction between Spring Integration and JMS, specifically with how the `stop()` method interrupts the polling task. This interruption may disrupt the `JMSTemplate.doReceive()` call, leading to an `UncategorizedJmsException` and an IBM MQ error (reason '2195'). Increasing the polling duration mitigated the error, suggesting the interruption occurs if the `GET` operation is blocking. A proposed workaround is to configure the JMS template to use non-blocking `receiveNoWait()`, allowing the polling to occur without being affected by interruptions. This behavior contrasts with typical polling practices in other contexts, where a poll does not block, indicating a potential area for improvement in documentation and defaults within Spring Integration's JMS handling.",changetype_jms
